header,description,platforms
AcUninstallConfirmation,"This event is generated when a Falcon sensor is uninstalled from a host. Important: The Falcon sensor stores events locally in a cache, which enables you to maintain data integrity even if connection to the cloud is interrupted. The cache holds a maximum of 20,000 events and sends them after a host re-establishes a connection with the cloud. However, if you reboot, the cache is lost. This means that if you uninstall a sensor off network and reboot, the cache storing those events is lost, including any AcUninstallConfirmation events.","Windows, macOS, Linux"
AcUnloadConfirmation,The cloud will respond with this event as acknowledgement that a sensor was uninstalled.,"Windows, macOS, Linux"
HostInfo,"This event is generated when: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This event provides information about the host running the sensor. When searching for information about a specific host, you should use the much faster aid_master search capability instead of searching for HostInfo events This event is generated when: A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated A host is turned on or rebooted A new Falcon sensor is installed on a host An existing Falcon sensor is updated This event provides information about the host running the sensor. When searching for information about a specific host, you should use the much faster aid_master search capability instead of searching for HostInfo events","Windows, macOS, iOS, Windows Legacy"
HookedDriverObject,This event describes the presence of a hooked pointer in a DRIVER_OBJECT structure.,Windows
WfpFilterTamperingFilterDeleted,This event is created whenever WFP indicates to our callout driver that a filter that references one of our callout functions has been deleted from the Base Filtering Engine.,Windows
WfpFilterTamperingFilterAdded,This event is created whenever WFP indicates to our callout driver that a new filter that references one of our callout functions has been added to the Base Filtering Engine.,Windows
DeliverLocalFXToCloud,DeliverLocalFXToCloud conveys feature extraction (FX) data to the cloud from the sensor. `DeliverLocalFXToCloud` conveys feature extraction (FX) data to the cloud from the sensor.,"Windows, macOS, Linux"
UserLogoff,This event is generated when a user logs off from a host.,"Windows, macOS, Linux, ChromeOS"
NeighborListIP4,"This event shows the IPv4 network addresses and MAC addresses of other devices on the host's network, gathered using ARP on the host. The first time a device sends this event to the CrowdStrike Cloud, its entire ARP table is sent. For later events, only the changes to the ARP table are sent. This event returns data as a MAC address, an IPv4 address, and a delimiter character (0 or 1). Each item is separated by a pipe character (|). If the delimiter character is a 0, the preceding MAC and IP addresses belong to a device. If the delimiter character is 1, the preceding IP and MAC addresses belong to the host's gateway.","Windows, macOS, Linux, Falcon Container, Forensics"
NeighborListIP6,"This event shows the MAC addresses and IPv6 network addresses of other devices on the host's network, gathered using ARP on the host. The first time a device sends this event to the CrowdStrike Cloud, its entire ARP table is sent. For later events, only the changes to the ARP table are sent. This event returns data as a MAC address, an IPv6 address, and a delimiter character (0 or 1). Each item is separated by a pipe character (|). If the delimiter character is a 0, the preceding MAC and IP addresses belong to a device. If the delimiter character is 1, the preceding IP and MAC addresses belong to the host's gateway.","Windows, macOS, Linux, Falcon Container, Forensics"
LocalIpAddressRemovedIP4,This event is generated when a host loses its IPv4 network address.,"Windows, macOS, Linux, Falcon Container, iOS, Android"
LocalIpAddressRemovedIP6,This event is generated when a host loses its IPv6 network address.,"Windows, macOS, Linux, Falcon Container, iOS, Android"
DcUsbEndpointDescriptor,An event that describes an endpoint descriptor extracted from the firmware of a USB device. An interface descriptor typically defines 2 or more endpoints that are used for data transfer. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"Windows, macOS, Linux"
DcUsbHIDDescriptor,This event describes a HID (Human Interface Device) descriptor extracted from the firmware of a USB device. A HID descriptor is a container for a complex set of sub-descriptors that identify the capabilities of a HID device. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"Windows, macOS, Linux"
DcStatus,An event that contains the status information for the Device Control plug-and-play driver. It is sent once per day after it has successfully connected to the Device Control interface.,"Windows, macOS, Linux"
DcUsbConfigurationDescriptor,An event that describes a configuration descriptor extracted from the firmware of a USB device. This event is sent one time when the first device containing this descriptor is seen and every seven days.,"Windows, macOS, Linux"
DcUsbInterfaceDescriptor,"An event that describes an interface descriptor extracted from the firmware of a USB device. There are typically multiple interface descriptors for a given configuration descriptor, with each interface exposing a device capability. This event is sent one time when the first device containing this descriptor is seen and every seven days.","Windows, macOS, Linux"
DcUsbDeviceDisconnected,"An event that describes a disconnected USB device to which Device Control has previously attached. It is sent each time the system powers off, the associated hub/port is power cycled, or the device is physically removed from the system.","Windows, macOS, Linux"
DcOnline,An event that indicates the Device Control plug-and-play driver interface has come online. It is sent each time the sensor connects to the Device Control interface.,"Windows, macOS, Linux"
DcOffline,An event that indicates the Device Control plug-and-play driver interface has gone offline. It is sent each time the sensor disconnects from the Device Control interface.,"Windows, macOS, Linux"
DcUsbDeviceWhitelisted,An event that indicates a USB device was added to an allowlist by a Device Control policy. The Device Control plug-and-play driver did not attach to the device as a result of an allowlist policy rule.,"Windows, macOS, Linux"
AwsIamAccountAlias,Information from AWS API call ListAccountAliases.,"Windows, Public Cloud"
FirmwareAnalysisStatus,This event contains status of the FPnP filter driver.,"Windows, macOS"
FirmwareRegionMeasured,Indicates that a certain region of a firmware image was measured.,"Windows, macOS"
FirmwareAnalysisErrorEvent,Indicates an occurrence of error associated with the Firmware Analysis feature.,"Windows, macOS"
FirmwareAnalysisHardwareData,This event contains hardware data collected by Firmware Analysis.,"Windows, macOS"
AwsEc2NetworkInterface,"This event provides key metadata regarding network interfaces in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeNetworkInterfaces API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaces.html] on your behalf. Network interfaces can either be in detached or attached state. When attached, they have an associated EC2 instance ID which can be used to correlate between the two events. Note that multiple network interface objects can also be associated to a single EC2 instance. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.","Windows, Public Cloud"
AwsEc2NetworkInterfacePrivateIP,This event provides key metadata regarding private IP addresses in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeNetworkInterfaces API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeNetworkInterfaces.html] on your behalf. Multiple private IPs can be assigned to a single network interface. The AwsNetworkInterfaceId field can be used to correlate these private IPs to the associated AwsEc2NetworkInterface event. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Volume,This event provides key metadata regarding EBS volumes configured in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeVolumes API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeVolumes.html] on your behalf. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Instance,This event provides key metadata regarding EC2 instances in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeInstances API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstances.html] on your behalf. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2SecurityGroup,This event provides key metadata regarding security groups in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSecurityGroups API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeSecurityGroups.html] on your behalf. Security groups control the level of network based access to resources within a VPC and can typically associated to network interfaces and their attached EC2 instances. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud, Windows, Public Cloud"
AwsEc2Subnet,This event provides key metadata regarding subnets configured in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeSubnets API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeSubnets.html] on your behalf. Subnets represent a level of network segmentation and are created within a VPC to control and manage routing configurations. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.,"Windows, Public Cloud"
AwsEc2Image,"This event provides key metadata regarding images (AMIs, AKIs, and ARIs) available in AWS. CrowdStrike retrieves this information by processing the response from AWS's DescribeImages API [https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeImages.html] on your behalf. This event is only generated for Discover for AWS [/support/documentation/10/falcon-discover-feature-guide] customers. It's generated either when Discover for AWS observes new or related activity via CloudTrail or during Discover for AWS's weekly full scan.","Windows, Public Cloud"
